episode,global_step,raw_reward,clipped_reward,length,seconds,mean_loss,updates,replay_size,epsilon
1,533,135.0,9.0,533,37.44445891599753,23.40956020887534,501,533,1.0
2,983,110.0,8.0,450,29.610426875005942,1.6894528021746211,450,983,1.0
3,1442,150.0,11.0,459,30.049719874979928,0.620109795241704,459,1442,1.0
4,2355,515.0,21.0,913,59.62593999999808,0.17076711977708592,913,2355,1.0
5,2974,340.0,12.0,619,39.82901612500427,0.07381711487608672,619,2974,1.0
6,3294,50.0,4.0,320,20.718660000013188,0.06431872275497881,320,3294,1.0
7,3796,110.0,9.0,502,32.601677625003504,0.055109079333998084,502,3796,1.0
8,4373,210.0,12.0,577,37.529133083007764,0.04274339415092648,577,4373,1.0
9,4954,135.0,11.0,581,37.81430504200398,0.06214677368145654,581,4954,1.0
10,5939,685.0,32.0,985,63.861338458023965,0.060302838163100524,985,5939,1.0
11,6351,45.0,5.0,412,26.4342015000002,0.058373119667380395,412,6351,1.0
12,6774,150.0,10.0,423,27.044321583991405,0.09715055784317346,423,6774,1.0
13,7321,135.0,8.0,547,35.532575749995885,0.08330626875758886,547,7321,1.0
14,7618,65.0,6.0,297,19.016030332975788,0.1243723892631881,297,7618,1.0
15,8086,120.0,8.0,468,30.169546207995154,0.1676622542525785,468,8086,1.0
16,8462,30.0,3.0,376,24.302045958000235,0.2945059528091348,376,8462,1.0
17,8797,80.0,7.0,335,21.619918165990384,5679954.854294053,335,8797,1.0
18,9483,230.0,15.0,686,44.8228997910046,520855.26358361426,686,9483,1.0
19,9886,55.0,5.0,403,25.945590124989394,98117.16931485537,403,9886,1.0
20,10698,270.0,18.0,812,52.82016220901278,45409.74357770347,812,10698,1.0
